,Burst_Error_Rate,Distance,Physical_Error_Rate,Number_of_Rounds,Logical_Error_Rate
0,0.1,5,0.0075,24,0.0025
1,0.1,5,0.0075,36,0.0038
2,0.1,5,0.0075,48,0.0071
3,0.1,5,0.0075,60,0.0084
4,0.1,5,0.0075,24,0.0625
5,0.1,5,0.0075,36,0.0661
6,0.1,5,0.0075,48,0.0658
7,0.1,5,0.0075,60,0.0702
8,0.1,7,0.0075,24,0.0004
9,0.1,7,0.0075,36,0.0003
10,0.1,7,0.0075,48,0.0009
11,0.1,7,0.0075,60,0.0012
12,0.1,7,0.0075,24,0.0481
13,0.1,7,0.0075,36,0.0495
14,0.1,7,0.0075,48,0.0532
15,0.1,7,0.0075,60,0.0508
16,0.1,9,0.0075,24,0.0
17,0.1,9,0.0075,36,0.0
18,0.1,9,0.0075,48,0.0
19,0.1,9,0.0075,60,0.0
20,0.1,9,0.0075,24,0.0394
21,0.1,9,0.0075,36,0.0356
22,0.1,9,0.0075,48,0.0429
23,0.1,9,0.0075,60,0.0433
24,0.1,11,0.0075,24,0.0
25,0.1,11,0.0075,36,0.0
26,0.1,11,0.0075,48,0.0
27,0.1,11,0.0075,60,0.0
28,0.1,11,0.0075,24,0.0375
29,0.1,11,0.0075,36,0.0375
30,0.1,11,0.0075,48,0.0352
31,0.1,11,0.0075,60,0.0341
32,0.1,13,0.0075,24,0.0
33,0.1,13,0.0075,36,0.0
34,0.1,13,0.0075,48,0.0
35,0.1,13,0.0075,60,0.0
36,0.1,13,0.0075,24,0.0292
37,0.1,13,0.0075,36,0.0307
38,0.1,13,0.0075,48,0.03
39,0.1,13,0.0075,60,0.0268
40,0.10500000000000001,5,0.0075,24,0.0036
41,0.10500000000000001,5,0.0075,36,0.0056
42,0.10500000000000001,5,0.0075,48,0.0074
43,0.10500000000000001,5,0.0075,60,0.0072
44,0.10500000000000001,5,0.0075,24,0.0678
45,0.10500000000000001,5,0.0075,36,0.0695
46,0.10500000000000001,5,0.0075,48,0.0743
47,0.10500000000000001,5,0.0075,60,0.076
48,0.10500000000000001,7,0.0075,24,0.0008
49,0.10500000000000001,7,0.0075,36,0.0008
50,0.10500000000000001,7,0.0075,48,0.0005
51,0.10500000000000001,7,0.0075,60,0.0011
52,0.10500000000000001,7,0.0075,24,0.0549
53,0.10500000000000001,7,0.0075,36,0.0605
54,0.10500000000000001,7,0.0075,48,0.0588
55,0.10500000000000001,7,0.0075,60,0.0576
56,0.10500000000000001,9,0.0075,24,0.0001
57,0.10500000000000001,9,0.0075,36,0.0001
58,0.10500000000000001,9,0.0075,48,0.0
59,0.10500000000000001,9,0.0075,60,0.0001
60,0.10500000000000001,9,0.0075,24,0.0516
61,0.10500000000000001,9,0.0075,36,0.0506
62,0.10500000000000001,9,0.0075,48,0.0496
63,0.10500000000000001,9,0.0075,60,0.0487
64,0.10500000000000001,11,0.0075,24,0.0
65,0.10500000000000001,11,0.0075,36,0.0
66,0.10500000000000001,11,0.0075,48,0.0
67,0.10500000000000001,11,0.0075,60,0.0
68,0.10500000000000001,11,0.0075,24,0.0454
69,0.10500000000000001,11,0.0075,36,0.0411
70,0.10500000000000001,11,0.0075,48,0.0469
71,0.10500000000000001,11,0.0075,60,0.0427
72,0.10500000000000001,13,0.0075,24,0.0
73,0.10500000000000001,13,0.0075,36,0.0
74,0.10500000000000001,13,0.0075,48,0.0
75,0.10500000000000001,13,0.0075,60,0.0
76,0.10500000000000001,13,0.0075,24,0.0359
77,0.10500000000000001,13,0.0075,36,0.0403
78,0.10500000000000001,13,0.0075,48,0.0373
79,0.10500000000000001,13,0.0075,60,0.0393
80,0.11,5,0.0075,24,0.0038
81,0.11,5,0.0075,36,0.0048
82,0.11,5,0.0075,48,0.0062
83,0.11,5,0.0075,60,0.0092
84,0.11,5,0.0075,24,0.079
85,0.11,5,0.0075,36,0.083
86,0.11,5,0.0075,48,0.0776
87,0.11,5,0.0075,60,0.0794
88,0.11,7,0.0075,24,0.0001
89,0.11,7,0.0075,36,0.001
90,0.11,7,0.0075,48,0.001
91,0.11,7,0.0075,60,0.0011
92,0.11,7,0.0075,24,0.0632
93,0.11,7,0.0075,36,0.0706
94,0.11,7,0.0075,48,0.0696
95,0.11,7,0.0075,60,0.0639
96,0.11,9,0.0075,24,0.0001
97,0.11,9,0.0075,36,0.0
98,0.11,9,0.0075,48,0.0001
99,0.11,9,0.0075,60,0.0001
100,0.11,9,0.0075,24,0.062
101,0.11,9,0.0075,36,0.0618
102,0.11,9,0.0075,48,0.0547
103,0.11,9,0.0075,60,0.0605
104,0.11,11,0.0075,24,0.0
105,0.11,11,0.0075,36,0.0
106,0.11,11,0.0075,48,0.0
107,0.11,11,0.0075,60,0.0
108,0.11,11,0.0075,24,0.0511
109,0.11,11,0.0075,36,0.0536
110,0.11,11,0.0075,48,0.0515
111,0.11,11,0.0075,60,0.051
112,0.11,13,0.0075,24,0.0
113,0.11,13,0.0075,36,0.0
114,0.11,13,0.0075,48,0.0
115,0.11,13,0.0075,60,0.0
116,0.11,13,0.0075,24,0.0458
117,0.11,13,0.0075,36,0.0447
118,0.11,13,0.0075,48,0.0444
119,0.11,13,0.0075,60,0.0448
120,0.115,5,0.0075,24,0.0042
121,0.115,5,0.0075,36,0.0052
122,0.115,5,0.0075,48,0.008
123,0.115,5,0.0075,60,0.0072
124,0.115,5,0.0075,24,0.0861
125,0.115,5,0.0075,36,0.0847
126,0.115,5,0.0075,48,0.0849
127,0.115,5,0.0075,60,0.0878
128,0.115,7,0.0075,24,0.0001
129,0.115,7,0.0075,36,0.0004
130,0.115,7,0.0075,48,0.0015
131,0.115,7,0.0075,60,0.0006
132,0.115,7,0.0075,24,0.0707
133,0.115,7,0.0075,36,0.077
134,0.115,7,0.0075,48,0.0761
135,0.115,7,0.0075,60,0.0781
136,0.115,9,0.0075,24,0.0
137,0.115,9,0.0075,36,0.0001
138,0.115,9,0.0075,48,0.0004
139,0.115,9,0.0075,60,0.0002
140,0.115,9,0.0075,24,0.0629
141,0.115,9,0.0075,36,0.0632
142,0.115,9,0.0075,48,0.0691
143,0.115,9,0.0075,60,0.0658
144,0.115,11,0.0075,24,0.0
145,0.115,11,0.0075,36,0.0001
146,0.115,11,0.0075,48,0.0
147,0.115,11,0.0075,60,0.0
148,0.115,11,0.0075,24,0.0568
149,0.115,11,0.0075,36,0.0591
150,0.115,11,0.0075,48,0.0609
151,0.115,11,0.0075,60,0.059
152,0.115,13,0.0075,24,0.0
153,0.115,13,0.0075,36,0.0
154,0.115,13,0.0075,48,0.0
155,0.115,13,0.0075,60,0.0
156,0.115,13,0.0075,24,0.0541
157,0.115,13,0.0075,36,0.0516
158,0.115,13,0.0075,48,0.0534
159,0.115,13,0.0075,60,0.0559
160,0.12000000000000001,5,0.0075,24,0.0029
161,0.12000000000000001,5,0.0075,36,0.0067
162,0.12000000000000001,5,0.0075,48,0.0062
163,0.12000000000000001,5,0.0075,60,0.0079
164,0.12000000000000001,5,0.0075,24,0.0922
165,0.12000000000000001,5,0.0075,36,0.0955
166,0.12000000000000001,5,0.0075,48,0.0939
167,0.12000000000000001,5,0.0075,60,0.1014
168,0.12000000000000001,7,0.0075,24,0.0004
169,0.12000000000000001,7,0.0075,36,0.0003
170,0.12000000000000001,7,0.0075,48,0.0008
171,0.12000000000000001,7,0.0075,60,0.0012
172,0.12000000000000001,7,0.0075,24,0.083
173,0.12000000000000001,7,0.0075,36,0.0833
174,0.12000000000000001,7,0.0075,48,0.0846
175,0.12000000000000001,7,0.0075,60,0.0839
176,0.12000000000000001,9,0.0075,24,0.0
177,0.12000000000000001,9,0.0075,36,0.0
178,0.12000000000000001,9,0.0075,48,0.0001
179,0.12000000000000001,9,0.0075,60,0.0002
180,0.12000000000000001,9,0.0075,24,0.0774
181,0.12000000000000001,9,0.0075,36,0.0773
182,0.12000000000000001,9,0.0075,48,0.0755
183,0.12000000000000001,9,0.0075,60,0.0754
184,0.12000000000000001,11,0.0075,24,0.0
185,0.12000000000000001,11,0.0075,36,0.0
186,0.12000000000000001,11,0.0075,48,0.0
187,0.12000000000000001,11,0.0075,60,0.0
188,0.12000000000000001,11,0.0075,24,0.0707
189,0.12000000000000001,11,0.0075,36,0.0692
190,0.12000000000000001,11,0.0075,48,0.0703
191,0.12000000000000001,11,0.0075,60,0.0712
192,0.12000000000000001,13,0.0075,24,0.0
193,0.12000000000000001,13,0.0075,36,0.0
194,0.12000000000000001,13,0.0075,48,0.0
195,0.12000000000000001,13,0.0075,60,0.0
196,0.12000000000000001,13,0.0075,24,0.0704
197,0.12000000000000001,13,0.0075,36,0.0649
198,0.12000000000000001,13,0.0075,48,0.0622
199,0.12000000000000001,13,0.0075,60,0.0646
200,0.125,5,0.0075,24,0.0036
201,0.125,5,0.0075,36,0.0047
202,0.125,5,0.0075,48,0.0066
203,0.125,5,0.0075,60,0.0088
204,0.125,5,0.0075,24,0.0985
205,0.125,5,0.0075,36,0.0981
206,0.125,5,0.0075,48,0.1003
207,0.125,5,0.0075,60,0.0985
208,0.125,7,0.0075,24,0.0004
209,0.125,7,0.0075,36,0.0006
210,0.125,7,0.0075,48,0.0004
211,0.125,7,0.0075,60,0.0012
212,0.125,7,0.0075,24,0.0966
213,0.125,7,0.0075,36,0.0897
214,0.125,7,0.0075,48,0.0931
215,0.125,7,0.0075,60,0.0889
216,0.125,9,0.0075,24,0.0
217,0.125,9,0.0075,36,0.0002
218,0.125,9,0.0075,48,0.0001
219,0.125,9,0.0075,60,0.0001
220,0.125,9,0.0075,24,0.0863
221,0.125,9,0.0075,36,0.0846
222,0.125,9,0.0075,48,0.0878
223,0.125,9,0.0075,60,0.0822
224,0.125,11,0.0075,24,0.0
225,0.125,11,0.0075,36,0.0
226,0.125,11,0.0075,48,0.0
227,0.125,11,0.0075,60,0.0
228,0.125,11,0.0075,24,0.0735
229,0.125,11,0.0075,36,0.0764
230,0.125,11,0.0075,48,0.0846
231,0.125,11,0.0075,60,0.0799
232,0.125,13,0.0075,24,0.0
233,0.125,13,0.0075,36,0.0
234,0.125,13,0.0075,48,0.0
235,0.125,13,0.0075,60,0.0
236,0.125,13,0.0075,24,0.0792
237,0.125,13,0.0075,36,0.0803
238,0.125,13,0.0075,48,0.0768
239,0.125,13,0.0075,60,0.0733
240,0.13,5,0.0075,24,0.0038
241,0.13,5,0.0075,36,0.0063
242,0.13,5,0.0075,48,0.0084
243,0.13,5,0.0075,60,0.0075
244,0.13,5,0.0075,24,0.1043
245,0.13,5,0.0075,36,0.1074
246,0.13,5,0.0075,48,0.1131
247,0.13,5,0.0075,60,0.1094
248,0.13,7,0.0075,24,0.0004
249,0.13,7,0.0075,36,0.0006
250,0.13,7,0.0075,48,0.0009
251,0.13,7,0.0075,60,0.0009
252,0.13,7,0.0075,24,0.0999
253,0.13,7,0.0075,36,0.1014
254,0.13,7,0.0075,48,0.102
255,0.13,7,0.0075,60,0.1031
256,0.13,9,0.0075,24,0.0001
257,0.13,9,0.0075,36,0.0001
258,0.13,9,0.0075,48,0.0001
259,0.13,9,0.0075,60,0.0004
260,0.13,9,0.0075,24,0.0963
261,0.13,9,0.0075,36,0.0989
262,0.13,9,0.0075,48,0.0963
263,0.13,9,0.0075,60,0.0937
264,0.13,11,0.0075,24,0.0
265,0.13,11,0.0075,36,0.0
266,0.13,11,0.0075,48,0.0
267,0.13,11,0.0075,60,0.0
268,0.13,11,0.0075,24,0.0875
269,0.13,11,0.0075,36,0.0936
270,0.13,11,0.0075,48,0.0942
271,0.13,11,0.0075,60,0.0924
272,0.13,13,0.0075,24,0.0
273,0.13,13,0.0075,36,0.0
274,0.13,13,0.0075,48,0.0
275,0.13,13,0.0075,60,0.0
276,0.13,13,0.0075,24,0.0854
277,0.13,13,0.0075,36,0.0883
278,0.13,13,0.0075,48,0.0873
279,0.13,13,0.0075,60,0.0918
280,0.135,5,0.0075,24,0.004
281,0.135,5,0.0075,36,0.0073
282,0.135,5,0.0075,48,0.0061
283,0.135,5,0.0075,60,0.0068
284,0.135,5,0.0075,24,0.1148
285,0.135,5,0.0075,36,0.1176
286,0.135,5,0.0075,48,0.1193
287,0.135,5,0.0075,60,0.1213
288,0.135,7,0.0075,24,0.0003
289,0.135,7,0.0075,36,0.0005
290,0.135,7,0.0075,48,0.0008
291,0.135,7,0.0075,60,0.0006
292,0.135,7,0.0075,24,0.1069
293,0.135,7,0.0075,36,0.1145
294,0.135,7,0.0075,48,0.11
295,0.135,7,0.0075,60,0.1205
296,0.135,9,0.0075,24,0.0
297,0.135,9,0.0075,36,0.0
298,0.135,9,0.0075,48,0.0
299,0.135,9,0.0075,60,0.0002
300,0.135,9,0.0075,24,0.1114
301,0.135,9,0.0075,36,0.1104
302,0.135,9,0.0075,48,0.1141
303,0.135,9,0.0075,60,0.1063
304,0.135,11,0.0075,24,0.0
305,0.135,11,0.0075,36,0.0
306,0.135,11,0.0075,48,0.0
307,0.135,11,0.0075,60,0.0
308,0.135,11,0.0075,24,0.1081
309,0.135,11,0.0075,36,0.1004
310,0.135,11,0.0075,48,0.1093
311,0.135,11,0.0075,60,0.1077
312,0.135,13,0.0075,24,0.0
313,0.135,13,0.0075,36,0.0
314,0.135,13,0.0075,48,0.0
315,0.135,13,0.0075,60,0.0
316,0.135,13,0.0075,24,0.0995
317,0.135,13,0.0075,36,0.1083
318,0.135,13,0.0075,48,0.0972
319,0.135,13,0.0075,60,0.0981
320,0.14,5,0.0075,24,0.0028
321,0.14,5,0.0075,36,0.0058
322,0.14,5,0.0075,48,0.0081
323,0.14,5,0.0075,60,0.0077
324,0.14,5,0.0075,24,0.1301
325,0.14,5,0.0075,36,0.1217
326,0.14,5,0.0075,48,0.1226
327,0.14,5,0.0075,60,0.1295
328,0.14,7,0.0075,24,0.0005
329,0.14,7,0.0075,36,0.0009
330,0.14,7,0.0075,48,0.0009
331,0.14,7,0.0075,60,0.0016
332,0.14,7,0.0075,24,0.1189
333,0.14,7,0.0075,36,0.1224
334,0.14,7,0.0075,48,0.1242
335,0.14,7,0.0075,60,0.1188
336,0.14,9,0.0075,24,0.0001
337,0.14,9,0.0075,36,0.0001
338,0.14,9,0.0075,48,0.0002
339,0.14,9,0.0075,60,0.0001
340,0.14,9,0.0075,24,0.1169
341,0.14,9,0.0075,36,0.1222
342,0.14,9,0.0075,48,0.1205
343,0.14,9,0.0075,60,0.1265
344,0.14,11,0.0075,24,0.0
345,0.14,11,0.0075,36,0.0
346,0.14,11,0.0075,48,0.0
347,0.14,11,0.0075,60,0.0
348,0.14,11,0.0075,24,0.1154
349,0.14,11,0.0075,36,0.1202
350,0.14,11,0.0075,48,0.115
351,0.14,11,0.0075,60,0.1163
352,0.14,13,0.0075,24,0.0
353,0.14,13,0.0075,36,0.0
354,0.14,13,0.0075,48,0.0
355,0.14,13,0.0075,60,0.0
356,0.14,13,0.0075,24,0.1195
357,0.14,13,0.0075,36,0.1142
358,0.14,13,0.0075,48,0.1194
359,0.14,13,0.0075,60,0.107
360,0.14500000000000002,5,0.0075,24,0.0038
361,0.14500000000000002,5,0.0075,36,0.0058
362,0.14500000000000002,5,0.0075,48,0.0063
363,0.14500000000000002,5,0.0075,60,0.0077
364,0.14500000000000002,5,0.0075,24,0.1318
365,0.14500000000000002,5,0.0075,36,0.1355
366,0.14500000000000002,5,0.0075,48,0.1369
367,0.14500000000000002,5,0.0075,60,0.1329
368,0.14500000000000002,7,0.0075,24,0.0003
369,0.14500000000000002,7,0.0075,36,0.0004
370,0.14500000000000002,7,0.0075,48,0.0008
371,0.14500000000000002,7,0.0075,60,0.0008
372,0.14500000000000002,7,0.0075,24,0.1299
373,0.14500000000000002,7,0.0075,36,0.1324
374,0.14500000000000002,7,0.0075,48,0.1349
375,0.14500000000000002,7,0.0075,60,0.1315
376,0.14500000000000002,9,0.0075,24,0.0
377,0.14500000000000002,9,0.0075,36,0.0
378,0.14500000000000002,9,0.0075,48,0.0001
379,0.14500000000000002,9,0.0075,60,0.0002
380,0.14500000000000002,9,0.0075,24,0.1374
381,0.14500000000000002,9,0.0075,36,0.128
382,0.14500000000000002,9,0.0075,48,0.1307
383,0.14500000000000002,9,0.0075,60,0.1275
384,0.14500000000000002,11,0.0075,24,0.0001
385,0.14500000000000002,11,0.0075,36,0.0
386,0.14500000000000002,11,0.0075,48,0.0
387,0.14500000000000002,11,0.0075,60,0.0
388,0.14500000000000002,11,0.0075,24,0.1246
389,0.14500000000000002,11,0.0075,36,0.1338
390,0.14500000000000002,11,0.0075,48,0.1343
391,0.14500000000000002,11,0.0075,60,0.1338
392,0.14500000000000002,13,0.0075,24,0.0
393,0.14500000000000002,13,0.0075,36,0.0
394,0.14500000000000002,13,0.0075,48,0.0
395,0.14500000000000002,13,0.0075,60,0.0
396,0.14500000000000002,13,0.0075,24,0.1279
397,0.14500000000000002,13,0.0075,36,0.1311
398,0.14500000000000002,13,0.0075,48,0.1335
399,0.14500000000000002,13,0.0075,60,0.1303
400,0.15000000000000002,5,0.0075,24,0.0025
401,0.15000000000000002,5,0.0075,36,0.0047
402,0.15000000000000002,5,0.0075,48,0.0063
403,0.15000000000000002,5,0.0075,60,0.0082
404,0.15000000000000002,5,0.0075,24,0.1427
405,0.15000000000000002,5,0.0075,36,0.1415
406,0.15000000000000002,5,0.0075,48,0.1434
