,Burst_Error_Rate,Distance,Physical_Error_Rate,Number_of_Rounds,Logical_Error_Rate
0,0.08,5,0.03,24,0.1646
1,0.08,5,0.03,36,0.226
2,0.08,5,0.03,48,0.2788
3,0.08,5,0.03,60,0.3115
4,0.08,5,0.03,24,0.1956
5,0.08,5,0.03,36,0.2592
6,0.08,5,0.03,48,0.2959
7,0.08,5,0.03,60,0.3333
8,0.08,7,0.03,24,0.0902
9,0.08,7,0.03,36,0.1317
10,0.08,7,0.03,48,0.1722
11,0.08,7,0.03,60,0.201
12,0.08,7,0.03,24,0.1334
13,0.08,7,0.03,36,0.1705
14,0.08,7,0.03,48,0.2028
15,0.08,7,0.03,60,0.2291
16,0.08,9,0.03,24,0.0543
17,0.08,9,0.03,36,0.076
18,0.08,9,0.03,48,0.104
19,0.08,9,0.03,60,0.1297
20,0.08,9,0.03,24,0.091
21,0.08,9,0.03,36,0.1144
22,0.08,9,0.03,48,0.1368
23,0.08,9,0.03,60,0.1561
24,0.08,11,0.03,24,0.0295
25,0.08,11,0.03,36,0.0468
26,0.08,11,0.03,48,0.0589
27,0.08,11,0.03,60,0.0711
28,0.08,11,0.03,24,0.0627
29,0.08,11,0.03,36,0.0828
30,0.08,11,0.03,48,0.0915
31,0.08,11,0.03,60,0.1088
32,0.08,13,0.03,24,0.0186
33,0.08,13,0.03,36,0.0259
34,0.08,13,0.03,48,0.034
35,0.08,13,0.03,60,0.045
36,0.08,13,0.03,24,0.0508
37,0.08,13,0.03,36,0.0637
38,0.08,13,0.03,48,0.0656
39,0.08,13,0.03,60,0.0746
40,0.09,5,0.03,24,0.1581
41,0.09,5,0.03,36,0.2222
42,0.09,5,0.03,48,0.2745
43,0.09,5,0.03,60,0.3127
44,0.09,5,0.03,24,0.2066
45,0.09,5,0.03,36,0.2615
46,0.09,5,0.03,48,0.2958
47,0.09,5,0.03,60,0.3261
48,0.09,7,0.03,24,0.0943
49,0.09,7,0.03,36,0.1356
50,0.09,7,0.03,48,0.1741
51,0.09,7,0.03,60,0.1999
52,0.09,7,0.03,24,0.1482
53,0.09,7,0.03,36,0.1824
54,0.09,7,0.03,48,0.2188
55,0.09,7,0.03,60,0.2417
56,0.09,9,0.03,24,0.0537
57,0.09,9,0.03,36,0.0775
58,0.09,9,0.03,48,0.1048
59,0.09,9,0.03,60,0.1249
60,0.09,9,0.03,24,0.1091
61,0.09,9,0.03,36,0.1322
62,0.09,9,0.03,48,0.1508
63,0.09,9,0.03,60,0.1732
64,0.09,11,0.03,24,0.0343
65,0.09,11,0.03,36,0.0471
66,0.09,11,0.03,48,0.058
67,0.09,11,0.03,60,0.072
68,0.09,11,0.03,24,0.0837
69,0.09,11,0.03,36,0.0996
70,0.09,11,0.03,48,0.1099
71,0.09,11,0.03,60,0.1182
72,0.09,13,0.03,24,0.0178
73,0.09,13,0.03,36,0.0263
74,0.09,13,0.03,48,0.0339
75,0.09,13,0.03,60,0.0452
76,0.09,13,0.03,24,0.0631
77,0.09,13,0.03,36,0.0769
78,0.09,13,0.03,48,0.0852
79,0.09,13,0.03,60,0.0936
80,0.1,5,0.03,24,0.164
81,0.1,5,0.03,36,0.2147
82,0.1,5,0.03,48,0.2566
83,0.1,5,0.03,60,0.3127
84,0.1,5,0.03,24,0.2177
85,0.1,5,0.03,36,0.2716
86,0.1,5,0.03,48,0.3141
