,Burst_Error_Rate,Distance,Physical_Error_Rate,Number_of_Rounds,Logical_Error_Rate
0,0.08,5,0.015,24,0.0274
1,0.08,5,0.015,36,0.0357
2,0.08,5,0.015,48,0.0461
3,0.08,5,0.015,60,0.0607
4,0.08,5,0.015,24,0.0654
5,0.08,5,0.015,36,0.0801
6,0.08,5,0.015,48,0.0897
7,0.08,5,0.015,60,0.1023
8,0.08,7,0.015,24,0.0069
9,0.08,7,0.015,36,0.0085
10,0.08,7,0.015,48,0.0144
11,0.08,7,0.015,60,0.0167
12,0.08,7,0.015,24,0.0405
13,0.08,7,0.015,36,0.0475
14,0.08,7,0.015,48,0.0474
15,0.08,7,0.015,60,0.0491
16,0.08,9,0.015,24,0.0005
17,0.08,9,0.015,36,0.0021
18,0.08,9,0.015,48,0.0038
19,0.08,9,0.015,60,0.0047
20,0.08,9,0.015,24,0.025
21,0.08,9,0.015,36,0.0249
22,0.08,9,0.015,48,0.0267
23,0.08,9,0.015,60,0.0293
24,0.08,11,0.015,24,0.0005
25,0.08,11,0.015,36,0.0005
26,0.08,11,0.015,48,0.0007
27,0.08,11,0.015,60,0.0008
28,0.08,11,0.015,24,0.0211
29,0.08,11,0.015,36,0.0199
30,0.08,11,0.015,48,0.02
31,0.08,11,0.015,60,0.0166
32,0.08,13,0.015,24,0.0002
33,0.08,13,0.015,36,0.0002
34,0.08,13,0.015,48,0.0002
35,0.08,13,0.015,60,0.0001
36,0.08,13,0.015,24,0.0132
37,0.08,13,0.015,36,0.0125
38,0.08,13,0.015,48,0.0146
39,0.08,13,0.015,60,0.0124
40,0.09,5,0.015,24,0.0248
41,0.09,5,0.015,36,0.0407
42,0.09,5,0.015,48,0.0493
43,0.09,5,0.015,60,0.0624
44,0.09,5,0.015,24,0.0803
45,0.09,5,0.015,36,0.0909
46,0.09,5,0.015,48,0.0985
47,0.09,5,0.015,60,0.1124
48,0.09,7,0.015,24,0.0069
49,0.09,7,0.015,36,0.0095
50,0.09,7,0.015,48,0.0125
51,0.09,7,0.015,60,0.0149
52,0.09,7,0.015,24,0.0512
53,0.09,7,0.015,36,0.0577
54,0.09,7,0.015,48,0.0583
55,0.09,7,0.015,60,0.0583
56,0.09,9,0.015,24,0.0019
57,0.09,9,0.015,36,0.0025
58,0.09,9,0.015,48,0.0036
59,0.09,9,0.015,60,0.0045
60,0.09,9,0.015,24,0.0379
61,0.09,9,0.015,36,0.0402
62,0.09,9,0.015,48,0.0411
63,0.09,9,0.015,60,0.044
64,0.09,11,0.015,24,0.0005
65,0.09,11,0.015,36,0.0008
66,0.09,11,0.015,48,0.0005
67,0.09,11,0.015,60,0.0011
68,0.09,11,0.015,24,0.0326
69,0.09,11,0.015,36,0.0332
70,0.09,11,0.015,48,0.0305
71,0.09,11,0.015,60,0.0319
72,0.09,13,0.015,24,0.0001
73,0.09,13,0.015,36,0.0002
74,0.09,13,0.015,48,0.0001
75,0.09,13,0.015,60,0.0001
76,0.09,13,0.015,24,0.0224
77,0.09,13,0.015,36,0.0222
78,0.09,13,0.015,48,0.0233
79,0.09,13,0.015,60,0.0235
80,0.1,5,0.015,24,0.0245
81,0.1,5,0.015,36,0.0381
82,0.1,5,0.015,48,0.052
83,0.1,5,0.015,60,0.0648
84,0.1,5,0.015,24,0.0905
85,0.1,5,0.015,36,0.1011
86,0.1,5,0.015,48,0.1066
87,0.1,5,0.015,60,0.1251
88,0.1,7,0.015,24,0.0068
89,0.1,7,0.015,36,0.0103
90,0.1,7,0.015,48,0.0131
91,0.1,7,0.015,60,0.0173
92,0.1,7,0.015,24,0.0669
93,0.1,7,0.015,36,0.0654
94,0.1,7,0.015,48,0.0702
95,0.1,7,0.015,60,0.0744
96,0.1,9,0.015,24,0.0012
97,0.1,9,0.015,36,0.0023
98,0.1,9,0.015,48,0.004
99,0.1,9,0.015,60,0.0037
100,0.1,9,0.015,24,0.0554
101,0.1,9,0.015,36,0.0551
102,0.1,9,0.015,48,0.0534
103,0.1,9,0.015,60,0.0589
104,0.1,11,0.015,24,0.0
105,0.1,11,0.015,36,0.0012
106,0.1,11,0.015,48,0.0006
107,0.1,11,0.015,60,0.0006
108,0.1,11,0.015,24,0.047
109,0.1,11,0.015,36,0.0439
110,0.1,11,0.015,48,0.0457
111,0.1,11,0.015,60,0.0411
112,0.1,13,0.015,24,0.0001
113,0.1,13,0.015,36,0.0
114,0.1,13,0.015,48,0.0001
115,0.1,13,0.015,60,0.0004
116,0.1,13,0.015,24,0.0378
117,0.1,13,0.015,36,0.0351
118,0.1,13,0.015,48,0.038
119,0.1,13,0.015,60,0.0376
120,0.11,5,0.015,24,0.0253
121,0.11,5,0.015,36,0.0343
122,0.11,5,0.015,48,0.0498
123,0.11,5,0.015,60,0.0648
124,0.11,5,0.015,24,0.1081
125,0.11,5,0.015,36,0.1209
126,0.11,5,0.015,48,0.1343
127,0.11,5,0.015,60,0.1333
128,0.11,7,0.015,24,0.0066
129,0.11,7,0.015,36,0.0095
130,0.11,7,0.015,48,0.0144
131,0.11,7,0.015,60,0.0133
132,0.11,7,0.015,24,0.0842
133,0.11,7,0.015,36,0.0881
134,0.11,7,0.015,48,0.0931
135,0.11,7,0.015,60,0.0934
136,0.11,9,0.015,24,0.0013
137,0.11,9,0.015,36,0.0026
138,0.11,9,0.015,48,0.0039
139,0.11,9,0.015,60,0.0032
140,0.11,9,0.015,24,0.0673
141,0.11,9,0.015,36,0.07
142,0.11,9,0.015,48,0.0685
143,0.11,9,0.015,60,0.0729
144,0.11,11,0.015,24,0.0004
145,0.11,11,0.015,36,0.0006
146,0.11,11,0.015,48,0.0008
147,0.11,11,0.015,60,0.0008
148,0.11,11,0.015,24,0.0582
149,0.11,11,0.015,36,0.0648
150,0.11,11,0.015,48,0.0614
151,0.11,11,0.015,60,0.0593
152,0.11,13,0.015,24,0.0001
153,0.11,13,0.015,36,0.0002
154,0.11,13,0.015,48,0.0
155,0.11,13,0.015,60,0.0004
156,0.11,13,0.015,24,0.0535
157,0.11,13,0.015,36,0.0538
158,0.11,13,0.015,48,0.055
159,0.11,13,0.015,60,0.0551
160,0.12,5,0.015,24,0.0261
161,0.12,5,0.015,36,0.0388
162,0.12,5,0.015,48,0.047
163,0.12,5,0.015,60,0.0676
164,0.12,5,0.015,24,0.1219
165,0.12,5,0.015,36,0.1317
166,0.12,5,0.015,48,0.141
167,0.12,5,0.015,60,0.1524
168,0.12,7,0.015,24,0.007
169,0.12,7,0.015,36,0.0095
170,0.12,7,0.015,48,0.0131
171,0.12,7,0.015,60,0.0165
172,0.12,7,0.015,24,0.1052
173,0.12,7,0.015,36,0.1003
174,0.12,7,0.015,48,0.1047
175,0.12,7,0.015,60,0.1125
176,0.12,9,0.015,24,0.0016
177,0.12,9,0.015,36,0.0032
178,0.12,9,0.015,48,0.0036
179,0.12,9,0.015,60,0.0039
180,0.12,9,0.015,24,0.0938
181,0.12,9,0.015,36,0.0922
182,0.12,9,0.015,48,0.0913
183,0.12,9,0.015,60,0.0943
184,0.12,11,0.015,24,0.0005
185,0.12,11,0.015,36,0.0006
186,0.12,11,0.015,48,0.0007
187,0.12,11,0.015,60,0.0015
188,0.12,11,0.015,24,0.0817
189,0.12,11,0.015,36,0.0818
190,0.12,11,0.015,48,0.0855
191,0.12,11,0.015,60,0.086
192,0.12,13,0.015,24,0.0
193,0.12,13,0.015,36,0.0004
194,0.12,13,0.015,48,0.0002
195,0.12,13,0.015,60,0.0003
196,0.12,13,0.015,24,0.0765
197,0.12,13,0.015,36,0.0794
198,0.12,13,0.015,48,0.0743
199,0.12,13,0.015,60,0.0801
200,0.13,5,0.015,24,0.0252
201,0.13,5,0.015,36,0.04
202,0.13,5,0.015,48,0.0516
203,0.13,5,0.015,60,0.0622
204,0.13,5,0.015,24,0.1403
205,0.13,5,0.015,36,0.1484
206,0.13,5,0.015,48,0.1533
207,0.13,5,0.015,60,0.1683
208,0.13,7,0.015,24,0.0065
209,0.13,7,0.015,36,0.0097
210,0.13,7,0.015,48,0.0149
211,0.13,7,0.015,60,0.0166
212,0.13,7,0.015,24,0.1175
213,0.13,7,0.015,36,0.1199
214,0.13,7,0.015,48,0.1279
215,0.13,7,0.015,60,0.13
216,0.13,9,0.015,24,0.0016
217,0.13,9,0.015,36,0.0028
218,0.13,9,0.015,48,0.0038
219,0.13,9,0.015,60,0.0035
220,0.13,9,0.015,24,0.1136
221,0.13,9,0.015,36,0.1146
222,0.13,9,0.015,48,0.1123
223,0.13,9,0.015,60,0.117
224,0.13,11,0.015,24,0.0003
225,0.13,11,0.015,36,0.0008
226,0.13,11,0.015,48,0.0009
227,0.13,11,0.015,60,0.0007
228,0.13,11,0.015,24,0.109
229,0.13,11,0.015,36,0.1112
230,0.13,11,0.015,48,0.113
231,0.13,11,0.015,60,0.1088
232,0.13,13,0.015,24,0.0002
233,0.13,13,0.015,36,0.0001
234,0.13,13,0.015,48,0.0003
235,0.13,13,0.015,60,0.0002
236,0.13,13,0.015,24,0.1039
237,0.13,13,0.015,36,0.102
238,0.13,13,0.015,48,0.0988
239,0.13,13,0.015,60,0.1079
240,0.14,5,0.015,24,0.0247
241,0.14,5,0.015,36,0.0407
242,0.14,5,0.015,48,0.0498
243,0.14,5,0.015,60,0.0592
244,0.14,5,0.015,24,0.1577
245,0.14,5,0.015,36,0.1612
246,0.14,5,0.015,48,0.1721
247,0.14,5,0.015,60,0.1809
248,0.14,7,0.015,24,0.0059
249,0.14,7,0.015,36,0.0082
250,0.14,7,0.015,48,0.0131
251,0.14,7,0.015,60,0.0152
252,0.14,7,0.015,24,0.1318
253,0.14,7,0.015,36,0.1488
254,0.14,7,0.015,48,0.1465
255,0.14,7,0.015,60,0.1503
256,0.14,9,0.015,24,0.0017
257,0.14,9,0.015,36,0.0022
258,0.14,9,0.015,48,0.0024
259,0.14,9,0.015,60,0.0037
260,0.14,9,0.015,24,0.1387
261,0.14,9,0.015,36,0.1366
262,0.14,9,0.015,48,0.1409
263,0.14,9,0.015,60,0.14
264,0.14,11,0.015,24,0.0008
265,0.14,11,0.015,36,0.0008
266,0.14,11,0.015,48,0.0006
267,0.14,11,0.015,60,0.0008
268,0.14,11,0.015,24,0.136
269,0.14,11,0.015,36,0.1347
270,0.14,11,0.015,48,0.1363
271,0.14,11,0.015,60,0.1267
272,0.14,13,0.015,24,0.0
273,0.14,13,0.015,36,0.0005
274,0.14,13,0.015,48,0.0003
275,0.14,13,0.015,60,0.0003
276,0.14,13,0.015,24,0.1361
277,0.14,13,0.015,36,0.1419
278,0.14,13,0.015,48,0.1366
279,0.14,13,0.015,60,0.1433
280,0.15000000000000002,5,0.015,24,0.0268
281,0.15000000000000002,5,0.015,36,0.0382
282,0.15000000000000002,5,0.015,48,0.0504
283,0.15000000000000002,5,0.015,60,0.0616
284,0.15000000000000002,5,0.015,24,0.1692
285,0.15000000000000002,5,0.015,36,0.1738
286,0.15000000000000002,5,0.015,48,0.1852
287,0.15000000000000002,5,0.015,60,0.1967
288,0.15000000000000002,7,0.015,24,0.0064
289,0.15000000000000002,7,0.015,36,0.0095
290,0.15000000000000002,7,0.015,48,0.0137
291,0.15000000000000002,7,0.015,60,0.0143
292,0.15000000000000002,7,0.015,24,0.165
