,Burst_Error_Rate,Distance,Physical_Error_Rate,Number_of_Rounds,Logical_Error_Rate
0,0.1,3,0.015,64,0.09932
1,0.1,3,0.015,96,0.14325
2,0.1,3,0.015,128,0.17884
3,0.1,3,0.015,160,0.21452
4,0.1,3,0.015,192,0.24504
5,0.1,3,0.015,64,0.1705
6,0.1,3,0.015,96,0.20139
7,0.1,3,0.015,128,0.2359
8,0.1,3,0.015,160,0.2644
9,0.1,3,0.015,192,0.2896
10,0.1,5,0.015,64,0.01754
11,0.1,5,0.015,96,0.02591
12,0.1,5,0.015,128,0.03399
13,0.1,5,0.015,160,0.0422
14,0.1,5,0.015,192,0.04961
15,0.1,5,0.015,64,0.0965
16,0.1,5,0.015,96,0.10316
17,0.1,5,0.015,128,0.10889
18,0.1,5,0.015,160,0.11686
19,0.1,5,0.015,192,0.12385
20,0.1,7,0.015,64,0.0025
21,0.1,7,0.015,96,0.00418
22,0.1,7,0.015,128,0.00507
23,0.1,7,0.015,160,0.00675
24,0.1,7,0.015,192,0.00856
25,0.1,7,0.015,64,0.07695
26,0.1,7,0.015,96,0.07781
27,0.1,7,0.015,128,0.07772
28,0.1,7,0.015,160,0.08083
29,0.1,7,0.015,192,0.08255
30,0.10333333333333333,3,0.015,64,0.10026
31,0.10333333333333333,3,0.015,96,0.14027
32,0.10333333333333333,3,0.015,128,0.17947
33,0.10333333333333333,3,0.015,160,0.21296
34,0.10333333333333333,3,0.015,192,0.24075
35,0.10333333333333333,3,0.015,64,0.1736
36,0.10333333333333333,3,0.015,96,0.20667
37,0.10333333333333333,3,0.015,128,0.23879
38,0.10333333333333333,3,0.015,160,0.26479
39,0.10333333333333333,3,0.015,192,0.29066
40,0.10333333333333333,5,0.015,64,0.01694
41,0.10333333333333333,5,0.015,96,0.02557
42,0.10333333333333333,5,0.015,128,0.03302
43,0.10333333333333333,5,0.015,160,0.04202
44,0.10333333333333333,5,0.015,192,0.04908
45,0.10333333333333333,5,0.015,64,0.10279
46,0.10333333333333333,5,0.015,96,0.10703
47,0.10333333333333333,5,0.015,128,0.1147
48,0.10333333333333333,5,0.015,160,0.12071
49,0.10333333333333333,5,0.015,192,0.12576
50,0.10333333333333333,7,0.015,64,0.00278
51,0.10333333333333333,7,0.015,96,0.00359
52,0.10333333333333333,7,0.015,128,0.00528
53,0.10333333333333333,7,0.015,160,0.00624
54,0.10333333333333333,7,0.015,192,0.00796
55,0.10333333333333333,7,0.015,64,0.07998
56,0.10333333333333333,7,0.015,96,0.08259
57,0.10333333333333333,7,0.015,128,0.08327
58,0.10333333333333333,7,0.015,160,0.08566
59,0.10333333333333333,7,0.015,192,0.08807
60,0.10666666666666667,3,0.015,64,0.09941
61,0.10666666666666667,3,0.015,96,0.14162
62,0.10666666666666667,3,0.015,128,0.17699
63,0.10666666666666667,3,0.015,160,0.21129
64,0.10666666666666667,3,0.015,192,0.24332
65,0.10666666666666667,3,0.015,64,0.17453
66,0.10666666666666667,3,0.015,96,0.21074
67,0.10666666666666667,3,0.015,128,0.24048
68,0.10666666666666667,3,0.015,160,0.26559
69,0.10666666666666667,3,0.015,192,0.29122
70,0.10666666666666667,5,0.015,64,0.01691
71,0.10666666666666667,5,0.015,96,0.02541
72,0.10666666666666667,5,0.015,128,0.03379
73,0.10666666666666667,5,0.015,160,0.04137
74,0.10666666666666667,5,0.015,192,0.05012
75,0.10666666666666667,5,0.015,64,0.10566
76,0.10666666666666667,5,0.015,96,0.11131
77,0.10666666666666667,5,0.015,128,0.11867
78,0.10666666666666667,5,0.015,160,0.12601
79,0.10666666666666667,5,0.015,192,0.13035
80,0.10666666666666667,7,0.015,64,0.00258
81,0.10666666666666667,7,0.015,96,0.00424
82,0.10666666666666667,7,0.015,128,0.00515
83,0.10666666666666667,7,0.015,160,0.00651
84,0.10666666666666667,7,0.015,192,0.00784
85,0.10666666666666667,7,0.015,64,0.08703
86,0.10666666666666667,7,0.015,96,0.09123
87,0.10666666666666667,7,0.015,128,0.09148
88,0.10666666666666667,7,0.015,160,0.09232
89,0.10666666666666667,7,0.015,192,0.09305
90,0.11,3,0.015,64,0.09994
91,0.11,3,0.015,96,0.1422
92,0.11,3,0.015,128,0.17967
93,0.11,3,0.015,160,0.21351
94,0.11,3,0.015,192,0.24463
95,0.11,3,0.015,64,0.17694
96,0.11,3,0.015,96,0.21362
97,0.11,3,0.015,128,0.24419
98,0.11,3,0.015,160,0.26872
99,0.11,3,0.015,192,0.29264
100,0.11,5,0.015,64,0.01686
101,0.11,5,0.015,96,0.02529
102,0.11,5,0.015,128,0.03334
103,0.11,5,0.015,160,0.04166
104,0.11,5,0.015,192,0.04965
105,0.11,5,0.015,64,0.11103
106,0.11,5,0.015,96,0.11738
107,0.11,5,0.015,128,0.12446
108,0.11,5,0.015,160,0.12895
109,0.11,5,0.015,192,0.13738
110,0.11,7,0.015,64,0.00286
111,0.11,7,0.015,96,0.00428
112,0.11,7,0.015,128,0.00564
113,0.11,7,0.015,160,0.00643
114,0.11,7,0.015,192,0.00758
115,0.11,7,0.015,64,0.0932
116,0.11,7,0.015,96,0.09542
117,0.11,7,0.015,128,0.09787
118,0.11,7,0.015,160,0.09718
119,0.11,7,0.015,192,0.09909
120,0.11333333333333334,3,0.015,64,0.10065
121,0.11333333333333334,3,0.015,96,0.14364
122,0.11333333333333334,3,0.015,128,0.18107
123,0.11333333333333334,3,0.015,160,0.21424
124,0.11333333333333334,3,0.015,192,0.24584
125,0.11333333333333334,3,0.015,64,0.1833
126,0.11333333333333334,3,0.015,96,0.21533
127,0.11333333333333334,3,0.015,128,0.24662
128,0.11333333333333334,3,0.015,160,0.27186
129,0.11333333333333334,3,0.015,192,0.29574
130,0.11333333333333334,5,0.015,64,0.01706
131,0.11333333333333334,5,0.015,96,0.02508
132,0.11333333333333334,5,0.015,128,0.03422
133,0.11333333333333334,5,0.015,160,0.04206
134,0.11333333333333334,5,0.015,192,0.04968
135,0.11333333333333334,5,0.015,64,0.11513
136,0.11333333333333334,5,0.015,96,0.12252
137,0.11333333333333334,5,0.015,128,0.12977
138,0.11333333333333334,5,0.015,160,0.13489
139,0.11333333333333334,5,0.015,192,0.14153
140,0.11333333333333334,7,0.015,64,0.00283
141,0.11333333333333334,7,0.015,96,0.00397
142,0.11333333333333334,7,0.015,128,0.00522
143,0.11333333333333334,7,0.015,160,0.00702
144,0.11333333333333334,7,0.015,192,0.00804
145,0.11333333333333334,7,0.015,64,0.09996
146,0.11333333333333334,7,0.015,96,0.10215
147,0.11333333333333334,7,0.015,128,0.10357
148,0.11333333333333334,7,0.015,160,0.10473
149,0.11333333333333334,7,0.015,192,0.1058
150,0.11666666666666667,3,0.015,64,0.10052
151,0.11666666666666667,3,0.015,96,0.14159
152,0.11666666666666667,3,0.015,128,0.18045
153,0.11666666666666667,3,0.015,160,0.21364
154,0.11666666666666667,3,0.015,192,0.24246
155,0.11666666666666667,3,0.015,64,0.18541
156,0.11666666666666667,3,0.015,96,0.21638
157,0.11666666666666667,3,0.015,128,0.24789
158,0.11666666666666667,3,0.015,160,0.27422
159,0.11666666666666667,3,0.015,192,0.29943
160,0.11666666666666667,5,0.015,64,0.01665
161,0.11666666666666667,5,0.015,96,0.02628
162,0.11666666666666667,5,0.015,128,0.03318
163,0.11666666666666667,5,0.015,160,0.04169
164,0.11666666666666667,5,0.015,192,0.05097
165,0.11666666666666667,5,0.015,64,0.12137
166,0.11666666666666667,5,0.015,96,0.12553
167,0.11666666666666667,5,0.015,128,0.13277
168,0.11666666666666667,5,0.015,160,0.1387
169,0.11666666666666667,5,0.015,192,0.1471
170,0.11666666666666667,7,0.015,64,0.00271
171,0.11666666666666667,7,0.015,96,0.0041
