,Burst_Error_Rate,Distance,Physical_Error_Rate,Number_of_Rounds,Logical_Error_Rate
0,0.1,3,0.015,64,0.20643
1,0.1,3,0.015,96,0.27553
2,0.1,3,0.015,128,0.32739
3,0.1,3,0.015,160,0.36876
4,0.1,3,0.015,192,0.39762
5,0.1,3,0.015,64,0.26035
6,0.1,3,0.015,96,0.31531
7,0.1,3,0.015,128,0.35598
8,0.1,3,0.015,160,0.3905
9,0.1,3,0.015,192,0.41314
10,0.1,5,0.015,64,0.06528
11,0.1,5,0.015,96,0.09435
12,0.1,5,0.015,128,0.12464
13,0.1,5,0.015,160,0.15159
14,0.1,5,0.015,192,0.17349
15,0.1,5,0.015,64,0.14313
16,0.1,5,0.015,96,0.16762
17,0.1,5,0.015,128,0.19225
18,0.1,5,0.015,160,0.21307
19,0.1,5,0.015,192,0.23187
20,0.1,7,0.015,64,0.01657
21,0.1,7,0.015,96,0.02695
22,0.1,7,0.015,128,0.03413
23,0.1,7,0.015,160,0.04305
24,0.1,7,0.015,192,0.04947
25,0.1,7,0.015,64,0.09847
26,0.1,7,0.015,96,0.10416
27,0.1,7,0.015,128,0.11162
28,0.1,7,0.015,160,0.11827
29,0.1,7,0.015,192,0.12597
30,0.10333333333333333,3,0.015,64,0.20748
31,0.10333333333333333,3,0.015,96,0.27338
32,0.10333333333333333,3,0.015,128,0.32703
33,0.10333333333333333,3,0.015,160,0.36843
34,0.10333333333333333,3,0.015,192,0.40135
35,0.10333333333333333,3,0.015,64,0.26155
36,0.10333333333333333,3,0.015,96,0.3158
37,0.10333333333333333,3,0.015,128,0.36152
38,0.10333333333333333,3,0.015,160,0.39121
39,0.10333333333333333,3,0.015,192,0.41526
40,0.10333333333333333,5,0.015,64,0.06683
41,0.10333333333333333,5,0.015,96,0.09759
42,0.10333333333333333,5,0.015,128,0.12314
43,0.10333333333333333,5,0.015,160,0.14913
44,0.10333333333333333,5,0.015,192,0.17507
45,0.10333333333333333,5,0.015,64,0.14871
46,0.10333333333333333,5,0.015,96,0.17131
47,0.10333333333333333,5,0.015,128,0.19438
48,0.10333333333333333,5,0.015,160,0.21564
49,0.10333333333333333,5,0.015,192,0.23505
50,0.10333333333333333,7,0.015,64,0.01674
51,0.10333333333333333,7,0.015,96,0.02562
52,0.10333333333333333,7,0.015,128,0.03605
53,0.10333333333333333,7,0.015,160,0.04263
54,0.10333333333333333,7,0.015,192,0.05099
55,0.10333333333333333,7,0.015,64,0.10342
56,0.10333333333333333,7,0.015,96,0.10978
57,0.10333333333333333,7,0.015,128,0.11701
58,0.10333333333333333,7,0.015,160,0.12402
59,0.10333333333333333,7,0.015,192,0.12821
60,0.10666666666666667,3,0.015,64,0.20802
61,0.10666666666666667,3,0.015,96,0.27627
62,0.10666666666666667,3,0.015,128,0.32794
63,0.10666666666666667,3,0.015,160,0.36551
64,0.10666666666666667,3,0.015,192,0.39721
65,0.10666666666666667,3,0.015,64,0.26334
66,0.10666666666666667,3,0.015,96,0.3197
67,0.10666666666666667,3,0.015,128,0.36483
68,0.10666666666666667,3,0.015,160,0.39378
69,0.10666666666666667,3,0.015,192,0.42315
70,0.10666666666666667,5,0.015,64,0.0662
71,0.10666666666666667,5,0.015,96,0.09688
72,0.10666666666666667,5,0.015,128,0.12464
73,0.10666666666666667,5,0.015,160,0.14923
74,0.10666666666666667,5,0.015,192,0.17146
75,0.10666666666666667,5,0.015,64,0.15418
76,0.10666666666666667,5,0.015,96,0.17782
77,0.10666666666666667,5,0.015,128,0.19792
78,0.10666666666666667,5,0.015,160,0.21924
79,0.10666666666666667,5,0.015,192,0.23686
80,0.10666666666666667,7,0.015,64,0.01775
81,0.10666666666666667,7,0.015,96,0.02614
82,0.10666666666666667,7,0.015,128,0.03597
83,0.10666666666666667,7,0.015,160,0.0427
84,0.10666666666666667,7,0.015,192,0.04955
85,0.10666666666666667,7,0.015,64,0.10933
86,0.10666666666666667,7,0.015,96,0.11683
87,0.10666666666666667,7,0.015,128,0.12375
88,0.10666666666666667,7,0.015,160,0.13145
89,0.10666666666666667,7,0.015,192,0.13457
90,0.11,3,0.015,64,0.20648
91,0.11,3,0.015,96,0.27528
92,0.11,3,0.015,128,0.32992
93,0.11,3,0.015,160,0.36637
94,0.11,3,0.015,192,0.4009
95,0.11,3,0.015,64,0.2668
96,0.11,3,0.015,96,0.31926
97,0.11,3,0.015,128,0.36156
98,0.11,3,0.015,160,0.39668
99,0.11,3,0.015,192,0.41994
100,0.11,5,0.015,64,0.06574
101,0.11,5,0.015,96,0.09702
102,0.11,5,0.015,128,0.12376
103,0.11,5,0.015,160,0.14996
104,0.11,5,0.015,192,0.17421
105,0.11,5,0.015,64,0.15784
106,0.11,5,0.015,96,0.18254
107,0.11,5,0.015,128,0.20282
108,0.11,5,0.015,160,0.22285
109,0.11,5,0.015,192,0.24121
110,0.11,7,0.015,64,0.01694
111,0.11,7,0.015,96,0.02626
112,0.11,7,0.015,128,0.03366
113,0.11,7,0.015,160,0.04067
114,0.11,7,0.015,192,0.05126
115,0.11,7,0.015,64,0.11398
116,0.11,7,0.015,96,0.12336
117,0.11,7,0.015,128,0.12771
118,0.11,7,0.015,160,0.13326
119,0.11,7,0.015,192,0.13971
120,0.11333333333333334,3,0.015,64,0.20914
121,0.11333333333333334,3,0.015,96,0.27639
122,0.11333333333333334,3,0.015,128,0.32507
123,0.11333333333333334,3,0.015,160,0.36795
124,0.11333333333333334,3,0.015,192,0.39687
125,0.11333333333333334,3,0.015,64,0.27007
126,0.11333333333333334,3,0.015,96,0.32078
127,0.11333333333333334,3,0.015,128,0.36422
128,0.11333333333333334,3,0.015,160,0.39441
129,0.11333333333333334,3,0.015,192,0.4204
130,0.11333333333333334,5,0.015,64,0.06797
131,0.11333333333333334,5,0.015,96,0.09593
132,0.11333333333333334,5,0.015,128,0.12438
133,0.11333333333333334,5,0.015,160,0.14841
134,0.11333333333333334,5,0.015,192,0.17533
135,0.11333333333333334,5,0.015,64,0.16341
136,0.11333333333333334,5,0.015,96,0.18521
137,0.11333333333333334,5,0.015,128,0.2068
138,0.11333333333333334,5,0.015,160,0.22579
139,0.11333333333333334,5,0.015,192,0.24684
140,0.11333333333333334,7,0.015,64,0.01704
141,0.11333333333333334,7,0.015,96,0.02709
142,0.11333333333333334,7,0.015,128,0.03432
143,0.11333333333333334,7,0.015,160,0.04171
144,0.11333333333333334,7,0.015,192,0.05097
145,0.11333333333333334,7,0.015,64,0.12271
146,0.11333333333333334,7,0.015,96,0.12864
147,0.11333333333333334,7,0.015,128,0.13407
148,0.11333333333333334,7,0.015,160,0.14109
149,0.11333333333333334,7,0.015,192,0.14783
150,0.11666666666666667,3,0.015,64,0.20719
151,0.11666666666666667,3,0.015,96,0.27359
152,0.11666666666666667,3,0.015,128,0.32564
153,0.11666666666666667,3,0.015,160,0.36637
154,0.11666666666666667,3,0.015,192,0.398
155,0.11666666666666667,3,0.015,64,0.27026
156,0.11666666666666667,3,0.015,96,0.32233
157,0.11666666666666667,3,0.015,128,0.36825
158,0.11666666666666667,3,0.015,160,0.39614
159,0.11666666666666667,3,0.015,192,0.41908
160,0.11666666666666667,5,0.015,64,0.06576
161,0.11666666666666667,5,0.015,96,0.09609
162,0.11666666666666667,5,0.015,128,0.12369
163,0.11666666666666667,5,0.015,160,0.15038
164,0.11666666666666667,5,0.015,192,0.17371
165,0.11666666666666667,5,0.015,64,0.16613
166,0.11666666666666667,5,0.015,96,0.19014
167,0.11666666666666667,5,0.015,128,0.2107
168,0.11666666666666667,5,0.015,160,0.23198
169,0.11666666666666667,5,0.015,192,0.24844
170,0.11666666666666667,7,0.015,64,0.0178
171,0.11666666666666667,7,0.015,96,0.0257
172,0.11666666666666667,7,0.015,128,0.03422
173,0.11666666666666667,7,0.015,160,0.04227
174,0.11666666666666667,7,0.015,192,0.05009
175,0.11666666666666667,7,0.015,64,0.12916
176,0.11666666666666667,7,0.015,96,0.13362
177,0.11666666666666667,7,0.015,128,0.14165
178,0.11666666666666667,7,0.015,160,0.14594
179,0.11666666666666667,7,0.015,192,0.15455
180,0.12,3,0.015,64,0.20833
181,0.12,3,0.015,96,0.27479
182,0.12,3,0.015,128,0.32417
183,0.12,3,0.015,160,0.36684
184,0.12,3,0.015,192,0.39985
185,0.12,3,0.015,64,0.27268
186,0.12,3,0.015,96,0.32664
187,0.12,3,0.015,128,0.36709
