,Burst_Error_Rate,Distance,Physical_Error_Rate,Number_of_Rounds,Logical_Error_Rate
0,0.1,3,0.005,64,0.0134
1,0.1,3,0.005,96,0.0157
2,0.1,3,0.005,128,0.0255
3,0.1,3,0.005,160,0.0311
4,0.1,3,0.005,192,0.0367
5,0.1,3,0.005,64,0.0796
6,0.1,3,0.005,96,0.0878
7,0.1,3,0.005,128,0.091
8,0.1,3,0.005,160,0.096
9,0.1,3,0.005,192,0.1063
10,0.1,5,0.005,64,0.0006
11,0.1,5,0.005,96,0.0011
12,0.1,5,0.005,128,0.0013
13,0.1,5,0.005,160,0.002
14,0.1,5,0.005,192,0.0022
15,0.1,5,0.005,64,0.0604
16,0.1,5,0.005,96,0.065
17,0.1,5,0.005,128,0.0628
18,0.1,5,0.005,160,0.0641
19,0.1,5,0.005,192,0.0611
20,0.1,7,0.005,64,0.0001
21,0.1,7,0.005,96,0.0001
22,0.1,7,0.005,128,0.0001
23,0.1,7,0.005,160,0.0
24,0.1,7,0.005,192,0.0002
25,0.1,7,0.005,64,0.0518
26,0.1,7,0.005,96,0.053
27,0.1,7,0.005,128,0.0531
28,0.1,7,0.005,160,0.0515
29,0.1,7,0.005,192,0.052
30,0.1125,3,0.005,64,0.0116
31,0.1125,3,0.005,96,0.0179
32,0.1125,3,0.005,128,0.0229
33,0.1125,3,0.005,160,0.0324
34,0.1125,3,0.005,192,0.0368
35,0.1125,3,0.005,64,0.0921
36,0.1125,3,0.005,96,0.0972
37,0.1125,3,0.005,128,0.1071
38,0.1125,3,0.005,160,0.1144
39,0.1125,3,0.005,192,0.115
40,0.1125,5,0.005,64,0.0008
41,0.1125,5,0.005,96,0.0012
42,0.1125,5,0.005,128,0.0014
43,0.1125,5,0.005,160,0.0012
44,0.1125,5,0.005,192,0.0018
45,0.1125,5,0.005,64,0.074
46,0.1125,5,0.005,96,0.0745
47,0.1125,5,0.005,128,0.0777
48,0.1125,5,0.005,160,0.0814
49,0.1125,5,0.005,192,0.0826
50,0.1125,7,0.005,64,0.0
51,0.1125,7,0.005,96,0.0
52,0.1125,7,0.005,128,0.0001
53,0.1125,7,0.005,160,0.0002
54,0.1125,7,0.005,192,0.0001
55,0.1125,7,0.005,64,0.0736
56,0.1125,7,0.005,96,0.0706
57,0.1125,7,0.005,128,0.0693
