,Burst_Error_Rate,Distance,Physical_Error_Rate,Number_of_Rounds,Logical_Error_Rate
0,0.08,3,0.0075,64,0.0642
1,0.08,3,0.0075,96,0.0933
2,0.08,3,0.0075,128,0.1179
3,0.08,3,0.0075,160,0.1498
4,0.08,3,0.0075,192,0.1676
5,0.08,3,0.0075,64,0.1072
6,0.08,3,0.0075,96,0.1384
7,0.08,3,0.0075,128,0.1595
8,0.08,3,0.0075,160,0.1828
9,0.08,3,0.0075,192,0.1976
10,0.08,5,0.0075,64,0.0078
11,0.08,5,0.0075,96,0.0142
12,0.08,5,0.0075,128,0.02
13,0.08,5,0.0075,160,0.0228
14,0.08,5,0.0075,192,0.0249
15,0.08,5,0.0075,64,0.0472
16,0.08,5,0.0075,96,0.0506
17,0.08,5,0.0075,128,0.0558
18,0.08,5,0.0075,160,0.0573
19,0.08,5,0.0075,192,0.0634
20,0.08,7,0.0075,64,0.001
21,0.08,7,0.0075,96,0.0018
22,0.08,7,0.0075,128,0.0025
23,0.08,7,0.0075,160,0.0029
24,0.08,7,0.0075,192,0.0035
25,0.08,7,0.0075,64,0.0268
26,0.08,7,0.0075,96,0.0253
27,0.08,7,0.0075,128,0.03
28,0.08,7,0.0075,160,0.0291
29,0.08,7,0.0075,192,0.029
30,0.085,3,0.0075,64,0.0651
31,0.085,3,0.0075,96,0.0991
32,0.085,3,0.0075,128,0.1193
33,0.085,3,0.0075,160,0.1461
34,0.085,3,0.0075,192,0.1743
35,0.085,3,0.0075,64,0.1153
36,0.085,3,0.0075,96,0.1378
37,0.085,3,0.0075,128,0.1598
38,0.085,3,0.0075,160,0.1813
39,0.085,3,0.0075,192,0.2058
40,0.085,5,0.0075,64,0.0093
41,0.085,5,0.0075,96,0.014
42,0.085,5,0.0075,128,0.0166
43,0.085,5,0.0075,160,0.0237
44,0.085,5,0.0075,192,0.0287
45,0.085,5,0.0075,64,0.0517
46,0.085,5,0.0075,96,0.0535
47,0.085,5,0.0075,128,0.0556
48,0.085,5,0.0075,160,0.065
49,0.085,5,0.0075,192,0.066
50,0.085,7,0.0075,64,0.0009
51,0.085,7,0.0075,96,0.0013
52,0.085,7,0.0075,128,0.0024
53,0.085,7,0.0075,160,0.003
54,0.085,7,0.0075,192,0.0039
55,0.085,7,0.0075,64,0.0303
56,0.085,7,0.0075,96,0.0313
57,0.085,7,0.0075,128,0.0329
58,0.085,7,0.0075,160,0.0338
59,0.085,7,0.0075,192,0.0348
