,Burst_Error_Rate,Distance,Physical_Error_Rate,Number_of_Rounds,Logical_Error_Rate
0,0.1,3,0.015,64,0.2061
1,0.1,3,0.015,96,0.275
2,0.1,3,0.015,128,0.3261
3,0.1,3,0.015,160,0.3718
4,0.1,3,0.015,192,0.4018
5,0.1,3,0.015,64,0.2461
6,0.1,3,0.015,96,0.2987
7,0.1,3,0.015,128,0.3589
8,0.1,3,0.015,160,0.3928
9,0.1,3,0.015,192,0.4085
10,0.1,5,0.015,64,0.0673
11,0.1,5,0.015,96,0.0982
12,0.1,5,0.015,128,0.1205
13,0.1,5,0.015,160,0.1419
14,0.1,5,0.015,192,0.1722
15,0.1,5,0.015,64,0.1331
16,0.1,5,0.015,96,0.1561
17,0.1,5,0.015,128,0.1737
18,0.1,5,0.015,160,0.203
19,0.1,5,0.015,192,0.2176
20,0.1,7,0.015,64,0.0202
21,0.1,7,0.015,96,0.0218
22,0.1,7,0.015,128,0.0332
23,0.1,7,0.015,160,0.0387
24,0.1,7,0.015,192,0.0525
25,0.1,7,0.015,64,0.0735
26,0.1,7,0.015,96,0.0884
27,0.1,7,0.015,128,0.0945
28,0.1,7,0.015,160,0.0954
29,0.1,7,0.015,192,0.1079
30,0.112,3,0.015,64,0.2027
31,0.112,3,0.015,96,0.2729
32,0.112,3,0.015,128,0.3275
33,0.112,3,0.015,160,0.361
34,0.112,3,0.015,192,0.3948
35,0.112,3,0.015,64,0.2655
36,0.112,3,0.015,96,0.3165
37,0.112,3,0.015,128,0.3531
38,0.112,3,0.015,160,0.3921
39,0.112,3,0.015,192,0.4168
40,0.112,5,0.015,64,0.0709
41,0.112,5,0.015,96,0.1004
42,0.112,5,0.015,128,0.1214
43,0.112,5,0.015,160,0.1511
44,0.112,5,0.015,192,0.1801
45,0.112,5,0.015,64,0.1409
46,0.112,5,0.015,96,0.1726
47,0.112,5,0.015,128,0.1854
48,0.112,5,0.015,160,0.2149
49,0.112,5,0.015,192,0.2257
50,0.112,7,0.015,64,0.0172
51,0.112,7,0.015,96,0.0243
52,0.112,7,0.015,128,0.034
53,0.112,7,0.015,160,0.0434
54,0.112,7,0.015,192,0.0495
55,0.112,7,0.015,64,0.0956
56,0.112,7,0.015,96,0.1
57,0.112,7,0.015,128,0.1095
58,0.112,7,0.015,160,0.1236
59,0.112,7,0.015,192,0.125
60,0.124,3,0.015,64,0.2062
61,0.124,3,0.015,96,0.2706
62,0.124,3,0.015,128,0.3257
63,0.124,3,0.015,160,0.3588
64,0.124,3,0.015,192,0.3999
65,0.124,3,0.015,64,0.2679
66,0.124,3,0.015,96,0.3275
67,0.124,3,0.015,128,0.3692
