,Burst_Error_Rate,Distance,Physical_Error_Rate,Number_of_Rounds,Logical_Error_Rate
0,0.08,5,0.03,24,0.1646
1,0.08,5,0.03,36,0.226
2,0.08,5,0.03,48,0.2788
3,0.08,5,0.03,60,0.3115
4,0.08,5,0.03,24,0.1956
5,0.08,5,0.03,36,0.2592
6,0.08,5,0.03,48,0.2959
7,0.08,5,0.03,60,0.3333
8,0.08,7,0.03,24,0.0902
9,0.08,7,0.03,36,0.1317
10,0.08,7,0.03,48,0.1722
11,0.08,7,0.03,60,0.201
12,0.08,7,0.03,24,0.1334
13,0.08,7,0.03,36,0.1705
14,0.08,7,0.03,48,0.2028
15,0.08,7,0.03,60,0.2291
16,0.08,9,0.03,24,0.0543
17,0.08,9,0.03,36,0.076
18,0.08,9,0.03,48,0.104
19,0.08,9,0.03,60,0.1297
20,0.08,9,0.03,24,0.091
21,0.08,9,0.03,36,0.1144
22,0.08,9,0.03,48,0.1368
23,0.08,9,0.03,60,0.1561
24,0.08,11,0.03,24,0.0295
25,0.08,11,0.03,36,0.0468
26,0.08,11,0.03,48,0.0589
27,0.08,11,0.03,60,0.0711
28,0.08,11,0.03,24,0.0627
29,0.08,11,0.03,36,0.0828
30,0.08,11,0.03,48,0.0915
31,0.08,11,0.03,60,0.1088
32,0.08,13,0.03,24,0.0186
33,0.08,13,0.03,36,0.0259
34,0.08,13,0.03,48,0.034
35,0.08,13,0.03,60,0.045
36,0.08,13,0.03,24,0.0508
37,0.08,13,0.03,36,0.0637
38,0.08,13,0.03,48,0.0656
39,0.08,13,0.03,60,0.0746
