,Burst_Error_Rate,Distance,Physical_Error_Rate,Number_of_Rounds,Logical_Error_Rate
0,0.1,3,0.015,64,0.0979
1,0.1,3,0.015,96,0.1432
2,0.1,3,0.015,128,0.1796
3,0.1,3,0.015,160,0.2141
4,0.1,3,0.015,192,0.2443
5,0.1,3,0.015,64,0.1639
6,0.1,3,0.015,96,0.206
7,0.1,3,0.015,128,0.2383
8,0.1,3,0.015,160,0.269
9,0.1,3,0.015,192,0.2852
10,0.1,5,0.015,64,0.0177
11,0.1,5,0.015,96,0.0266
12,0.1,5,0.015,128,0.0346
13,0.1,5,0.015,160,0.0461
14,0.1,5,0.015,192,0.0456
15,0.1,5,0.015,64,0.098
16,0.1,5,0.015,96,0.1038
17,0.1,5,0.015,128,0.1105
18,0.1,5,0.015,160,0.1182
19,0.1,5,0.015,192,0.1245
20,0.1,7,0.015,64,0.0017
21,0.1,7,0.015,96,0.0049
22,0.1,7,0.015,128,0.0056
23,0.1,7,0.015,160,0.0075
24,0.1,7,0.015,192,0.0076
25,0.1,7,0.015,64,0.0754
26,0.1,7,0.015,96,0.0779
27,0.1,7,0.015,128,0.0799
28,0.1,7,0.015,160,0.0802
29,0.1,7,0.015,192,0.0833
30,0.1125,3,0.015,64,0.0986
31,0.1125,3,0.015,96,0.1417
32,0.1125,3,0.015,128,0.1738
33,0.1125,3,0.015,160,0.2056
34,0.1125,3,0.015,192,0.2439
35,0.1125,3,0.015,64,0.1744
36,0.1125,3,0.015,96,0.2129
37,0.1125,3,0.015,128,0.2466
38,0.1125,3,0.015,160,0.2743
39,0.1125,3,0.015,192,0.2908
40,0.1125,5,0.015,64,0.0176
41,0.1125,5,0.015,96,0.0231
42,0.1125,5,0.015,128,0.0349
43,0.1125,5,0.015,160,0.0412
44,0.1125,5,0.015,192,0.0487
45,0.1125,5,0.015,64,0.1161
46,0.1125,5,0.015,96,0.1212
47,0.1125,5,0.015,128,0.1339
48,0.1125,5,0.015,160,0.1292
49,0.1125,5,0.015,192,0.1419
50,0.1125,7,0.015,64,0.0022
51,0.1125,7,0.015,96,0.0035
52,0.1125,7,0.015,128,0.005
53,0.1125,7,0.015,160,0.0056
54,0.1125,7,0.015,192,0.0087
55,0.1125,7,0.015,64,0.0949
56,0.1125,7,0.015,96,0.1036
57,0.1125,7,0.015,128,0.0991
