,Burst_Error_Rate,Distance,Physical_Error_Rate,Number_of_Rounds,Logical_Error_Rate
0,0.11,3,0.02,64,0.16194
1,0.11,3,0.02,96,0.22091
2,0.11,3,0.02,128,0.27113
3,0.11,3,0.02,160,0.31162
4,0.11,3,0.02,192,0.34378
5,0.11,3,0.02,64,0.23277
6,0.11,3,0.02,96,0.28236
7,0.11,3,0.02,128,0.3201
8,0.11,3,0.02,160,0.35254
9,0.11,3,0.02,192,0.37892
10,0.11,5,0.02,64,0.03859
11,0.11,5,0.02,96,0.05672
12,0.11,5,0.02,128,0.07462
13,0.11,5,0.02,160,0.09098
14,0.11,5,0.02,192,0.1076
15,0.11,5,0.02,64,0.13945
16,0.11,5,0.02,96,0.15297
17,0.11,5,0.02,128,0.16736
18,0.11,5,0.02,160,0.17946
19,0.11,5,0.02,192,0.19244
20,0.11,7,0.02,64,0.0082
21,0.11,7,0.02,96,0.0124
22,0.11,7,0.02,128,0.01645
23,0.11,7,0.02,160,0.02006
24,0.11,7,0.02,192,0.02323
25,0.11,7,0.02,64,0.11244
26,0.11,7,0.02,96,0.11423
27,0.11,7,0.02,128,0.11963
28,0.11,7,0.02,160,0.12079
29,0.11,7,0.02,192,0.12425
30,0.11333333333333334,3,0.02,64,0.16147
31,0.11333333333333334,3,0.02,96,0.2202
32,0.11333333333333334,3,0.02,128,0.27195
33,0.11333333333333334,3,0.02,160,0.31076
34,0.11333333333333334,3,0.02,192,0.34437
35,0.11333333333333334,3,0.02,64,0.23715
36,0.11333333333333334,3,0.02,96,0.28353
37,0.11333333333333334,3,0.02,128,0.32128
38,0.11333333333333334,3,0.02,160,0.35396
39,0.11333333333333334,3,0.02,192,0.37856
40,0.11333333333333334,5,0.02,64,0.03875
41,0.11333333333333334,5,0.02,96,0.05778
42,0.11333333333333334,5,0.02,128,0.07336
43,0.11333333333333334,5,0.02,160,0.09151
44,0.11333333333333334,5,0.02,192,0.10713
45,0.11333333333333334,5,0.02,64,0.14554
46,0.11333333333333334,5,0.02,96,0.15654
47,0.11333333333333334,5,0.02,128,0.17091
48,0.11333333333333334,5,0.02,160,0.18524
49,0.11333333333333334,5,0.02,192,0.19658
50,0.11333333333333334,7,0.02,64,0.00757
51,0.11333333333333334,7,0.02,96,0.01226
52,0.11333333333333334,7,0.02,128,0.01665
53,0.11333333333333334,7,0.02,160,0.01973
54,0.11333333333333334,7,0.02,192,0.02349
55,0.11333333333333334,7,0.02,64,0.11723
56,0.11333333333333334,7,0.02,96,0.12164
57,0.11333333333333334,7,0.02,128,0.12501
58,0.11333333333333334,7,0.02,160,0.12785
59,0.11333333333333334,7,0.02,192,0.13225
