,Burst_Error_Rate,Distance,Physical_Error_Rate,Number_of_Rounds,Logical_Error_Rate
0,0.11,3,0.01,64,0.12528
1,0.11,3,0.01,96,0.17521
2,0.11,3,0.01,128,0.21829
3,0.11,3,0.01,160,0.25643
4,0.11,3,0.01,192,0.28723
5,0.11,3,0.01,64,0.19473
6,0.11,3,0.01,96,0.23503
7,0.11,3,0.01,128,0.26993
8,0.11,3,0.01,160,0.30243
9,0.11,3,0.01,192,0.32701
10,0.11,5,0.01,64,0.02586
11,0.11,5,0.01,96,0.03779
12,0.11,5,0.01,128,0.04899
13,0.11,5,0.01,160,0.06196
14,0.11,5,0.01,192,0.07239
15,0.11,5,0.01,64,0.11281
16,0.11,5,0.01,96,0.12341
17,0.11,5,0.01,128,0.13139
18,0.11,5,0.01,160,0.14245
19,0.11,5,0.01,192,0.14926
20,0.11,7,0.01,64,0.00441
21,0.11,7,0.01,96,0.00668
22,0.11,7,0.01,128,0.00893
23,0.11,7,0.01,160,0.01105
24,0.11,7,0.01,192,0.01302
25,0.11,7,0.01,64,0.08849
26,0.11,7,0.01,96,0.09016
27,0.11,7,0.01,128,0.09364
28,0.11,7,0.01,160,0.09437
29,0.11,7,0.01,192,0.09539
